"ID","sample","batch"
"Haas2021-X.9..TP_Thermogenesis_RT_A.PG.Quantity",1,1
"Haas2021-X.10..TP_Thermogenesis_RT_B.PG.Quantity",2,1
"Haas2021-X.11..TP_Thermogenesis_RT_C.PG.Quantity",3,1
"Haas2021-X.12..TP_Thermogenesis_RT_D.PG.Quantity",4,1
"Haas2022-X.9..2022_TP_Thermogenesis_RT_A.PG.Quantity",5,2
"Haas2022-X.10..2022_TP_Thermogenesis_RT_B.PG.Quantity",6,2
"Haas2022-X.11..2022_TP_Thermogenesis_RT_C.PG.Quantity",7,2
"Haas2022-X.12..2022_TP_Thermogenesis_RT_D.PG.Quantity",8,2
"Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_1",9,3
"Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_2",10,3
"Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_3",11,3
"Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_4",12,3
"Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_5",13,3
"Johanna-LFQ intensity 4442_22_PBS_m",14,4
"Johanna-LFQ intensity 4443_22_PBS_m",15,4
"Johanna-LFQ intensity 4444_22_PBS_f",16,4
"Johanna-LFQ intensity 4445_22_PBS_f",17,4
"Johanna-LFQ intensity 4446_22_PBS_f",18,4
"Johanna-LFQ intensity 4453_22_PBS_f",19,4
"Johanna-LFQ intensity 4454_22_PBS_f",20,4
"Johanna-LFQ intensity 4455_22_PBS_f",21,4
"Johanna-LFQ intensity 4456_22_PBS_m",22,4
"Johanna-LFQ intensity 4457_22_PBS_m",23,4
"Johanna-LFQ intensity 4458_22_PBS_m",24,4
"Kristina-LFQ intensity CD_eWAT_1_1857",25,5
"Kristina-LFQ intensity CD_eWAT_2_2127",26,5
"Kristina-LFQ intensity CD_eWAT_3_2145",27,5
"Kristina-LFQ intensity CD_eWAT_4_3253",28,5
"Kristina-LFQ intensity CD_eWAT_5_4222",29,5
"Kristina-LFQ intensity HFD_CD_eWAT_1_1096",30,5
"Kristina-LFQ intensity HFD_CD_eWAT_2_1544",31,5
"Kristina-LFQ intensity HFD_CD_eWAT_3_2005",32,5
"Kristina-LFQ intensity HFD_CD_eWAT_4_3416",33,5
"Kristina-LFQ intensity HFD_CD_eWAT_5_4224",34,5
"Kristina-LFQ intensity HFD_eWAT_1_1106",35,5
"Kristina-LFQ intensity HFD_eWAT_2_1541",36,5
"Kristina-LFQ intensity HFD_eWAT_3_2002",37,5
"Kristina-LFQ intensity HFD_eWAT_4_3421",38,5
"Kristina-LFQ intensity HFD_eWAT_5_4226",39,5
"Kristina-LFQ intensity CD_iWAT_1_1427",40,6
"Kristina-LFQ intensity CD_iWAT_2_1857",41,6
"Kristina-LFQ intensity CD_iWAT_3_2127",42,6
"Kristina-LFQ intensity CD_iWAT_4_2145",43,6
"Kristina-LFQ intensity CD_iWAT_5_3253",44,6
"Kristina-LFQ intensity CD_iWAT_6_4222",45,6
"Kristina-LFQ intensity HFD_CD_iWAT_1_1096",46,6
"Kristina-LFQ intensity HFD_CD_iWAT_2_1544",47,6
"Kristina-LFQ intensity HFD_CD_iWAT_3_2005",48,6
"Kristina-LFQ intensity HFD_CD_iWAT_4_2179",49,6
"Kristina-LFQ intensity HFD_CD_iWAT_5_3416",50,6
"Kristina-LFQ intensity HFD_CD_iWAT_6_4224",51,6
"Kristina-LFQ intensity HFD_iWAT_1_1106",52,6
"Kristina-LFQ intensity HFD_iWAT_2_1541",53,6
"Kristina-LFQ intensity HFD_iWAT_3_2002",54,6
"Kristina-LFQ intensity HFD_iWAT_4_2172",55,6
"Kristina-LFQ intensity HFD_iWAT_5_3421",56,6
"Kristina-LFQ intensity HFD_iWAT_6_4226",57,6
"Melina-RT1",58,7
"Melina-RT2",59,7
"Melina-RT3",60,7
"Melina-RT4",61,7
"Melina-RT5",62,7
"Melina-RT6",63,7
"Melina-Cold1",64,7
"Melina-Cold2",65,7
"Melina-Cold3",66,7
"Melina-Cold4",67,7
"Melina-Cold5",68,7
"Melina-Cold6",69,7
"Oeckl-iBAT.T23.WT_1",70,8
"Oeckl-iBAT.T23.WT_2",71,8
"Oeckl-iBAT.T23.WT_3",72,8
"Oeckl-iBAT.T23.WT_4",73,8
"Oeckl-iWAT.T23.WT_1",74,8
"Oeckl-iWAT.T23.WT_2",75,8
"Oeckl-iWAT.T23.WT_3",76,8
"Oeckl-iWAT.T23.WT_4",77,8
"Rhabi-VEH1W",78,9
"Rhabi-VEH2W",79,9
"Rhabi-VEH3W",80,9
"Rhabi-VEH4W",81,9
"Rhabi-VEH5W",82,9
"Rhabi-VEH1B",83,9
"Rhabi-VEH2B",84,9
"Rhabi-VEH3B",85,9
"Rhabi-VEH4B",86,9
"Rhabi-VEH5B",87,9
"WangBAT-Intensity of BAT_CD1",88,10
"WangBAT-Intensity of BAT_CD2",89,10
"WangBAT-Intensity of BAT_CD3",90,10
"WangBAT-Intensity of BAT_CD4",91,10
"WangBAT-Intensity of BAT_CD5",92,10
"WangBAT-Intensity of BAT_HFD1",93,10
"WangBAT-Intensity of BAT_HFD2",94,10
"WangBAT-Intensity of BAT_HFD3",95,10
"WangBAT-Intensity of BAT_HFD4",96,10
"WangBAT-Intensity of BAT_HFD5",97,10
"WangWAT-Intensity of sWAT_CD1",98,11
"WangWAT-Intensity of sWAT_CD2",99,11
"WangWAT-Intensity of sWAT_CD3",100,11
"WangWAT-Intensity of sWAT_CD4",101,11
"WangWAT-Intensity of sWAT_CD5",102,11
"WangWAT-Intensity of sWAT_HFD1",103,11
"WangWAT-Intensity of sWAT_HFD2",104,11
"WangWAT-Intensity of sWAT_HFD3",105,11
"WangWAT-Intensity of sWAT_HFD4",106,11
"WangWAT-Intensity of sWAT_HFD5",107,11
"Williams-Whole CellBAT_C57",108,12
"Williams-Whole CellBAT_DBA",109,12
"Williams-Whole CellBAT_45",110,12
"Williams-Whole CellBAT_66",111,12
"Williams-Whole CellBAT_68",112,12
"Williams-Whole CellBAT_73",113,12
