,VEH1W
,12.28075397
A2m,19.9484641
Aacs,17.20509014
Aak1,16.31978963
Aamdc,15.66678999
Aars,18.4092595
Aarsd1,15.3410676
Abcb1a,16.96862269
Abcb6,13.29886019
Abcb7,14.32042507
Abcb8,14.6671048
Abcc1,16.22437715
Abcc9,12.00798034
Abcd1,15.22949714
Abcd2,18.82120751
Abcd3,16.39022373
Abce1,17.07490074
Abcf1,17.19658765
Abcf2,15.93151734
Abcf3,15.87325557
Abhd11,15.39871378
Abhd12,16.01926652
Abhd14b,16.94781897
Abhd15,14.86166431
Abhd16a,17.37568158
Abhd4,15.94612996
Abhd5,16.37227124
Abhd6,16.34273051
Abi1,17.33903154
Abi3,15.40620862
Ablim1,17.73664677
Ablim3,15.65143237
Acaa1a,18.53097441
Acaa2,19.02870727
Acaca,19.87008693
Acacb,14.71663958
Acad10,15.87051861
Acad11,17.37449832
Acad8,16.15481476
Acad9,17.16753686
Acadl,19.17803037
Acadm,19.16956142
Acads,18.52146022
Acadsb,17.40597391
Acadvl,19.03681877
Acap2,16.49780878
Acat1,19.15644352
Acat2,17.14163854
Acbd3,16.85868864
Acbd5,15.12559735
Acin1,16.82383395
Acly,19.62035967
Aco1,18.45276347
Aco2,19.56089895
Acot1,14.81035087
Acot13,15.63322792
Acot7,14.71561913
Acot9,17.6456421
Acox1,18.07782145
Acox3,15.54109535
Acp1,15.35762429
Acp6,15.61616952
Acsf2,16.94233865
Acsf3,14.77677209
Acsl1,20.39451337
Acsl5,16.53008067
Acss1,13.4608741
Acss2,16.20432947
Acss3,16.79251199
Acta1,12.84782035
Acta2,13.37594679
Actb,21.72979145
Actc1,18.78511813
Actl6a,16.38503155
Actn1,18.84389373
Actn4,20.50409741
Actr10,16.91499584
Actr1a,17.34311564
Actr1b,12.11105802
Actr2,18.67142469
Actr3,19.03730077
Acy1,15.78780548
Acy3,16.25804961
Acyp1,15.84976703
Acyp2,17.69344933
Adam10,14.89436098
Adam15,15.0998616
Adam17,15.19099025
Adam9,13.2972125
Adcy5,14.69478519
Add1,17.56386741
Add3,16.42646534
Adh1,17.91025479
Adh5,18.26987932
Adhfe1,15.39129675
Adi1,13.64038052
Adipoq,18.16583851
Adk,18.25100162
Adnp,10.72764155
Ado,15.76659358
Adprh,17.07607753
Adprhl2,14.57385919
Adrb3,15.115758
Adrm1,15.40843036
Adsl,16.30526573
Adss,16.69391281
Adssl1,15.11194148
Afg3l1,11.53788548
Afg3l2,17.95207129
Afm,16.02656403
Agap3,13.80552704
Agfg1,16.53907939
Agfg2,14.36680249
Agk,14.53111699
Ago2,15.93413669
Ago3,13.55865371
Agpat2,17.83091902
Agpat3,17.56862633
Agpat6,14.82587541
Agpat9,16.70955474
Agrn,13.52816758
Agt,16.24867851
Ahcy,18.70813566
Ahcyl1,15.88468479
Ahcyl2,17.93864265
Ahsa1,17.0436536
Ahsg,19.30738483
Ahsp,11.22168124
Aifm1,17.72092014
Aifm2,17.93411166
Aimp1,17.3938743
Aimp2,16.73848979
Aip,15.89755344
Ak1,16.18051206
Ak2,18.89655533
Ak3,18.44858309
Ak4,12.82712415
Akap1,13.97591344
Akap10,13.88350579
Akap12,19.1257736
Akap13,16.04204522
Akap2,17.77905549
Akap9,12.48334385
Akr1a1,19.14128301
Akr1b1,18.33149209
Akr1b7,15.56888035
Akr1b8,16.51109988
Akr1c13,16.30164892
Akr1e2,15.24437506
Akr7a2,16.65210239
Akt1,15.0411288
Akt1s1,14.66455413
Akt2,17.55627035
Alad,16.87079623
Alb,23.50954372
Aldh16a1,16.63270752
Aldh1a1,18.78766379
Aldh1a7,17.3321352
Aldh1l1,19.78721635
Aldh2,19.3973671
Aldh3a2,16.81213012
Aldh3b2,17.31842024
Aldh4a1,18.24807227
Aldh5a1,16.26848125
Aldh6a1,19.87260547
Aldh7a1,17.59746513
Aldh9a1,17.84647191
Aldoa,20.46730714
Alg1,13.32204289
Alg5,16.28803994
Alg9,14.72873286
Alyref,15.22548005
Ambp,14.37417797
Amdhd2,15.77371996
Ampd2,14.23346707
Ampd3,16.41810943
Ank1,18.45133317
Ank2,14.5574756
Ankfy1,17.07611025
Anks1a,14.87434343
Ano10,17.10760524
