,Status,Batch,pca_browning_score_PC1,pca_browning_score_PC2,lda_browning_score_Brown,lda_browning_score_White,lda_browning_score_Brown_lasso,lda_browning_score_White_lasso,rf_browning_score_Brown,rf_browning_score_White,tabpfn_browning_score_Brown,tabpfn_browning_score_White,lr_browning_score_Brown,lr_browning_score_White,lr_browning_score_Brown_markers,lr_browning_score_White_markers,Composite_Score
Haas2021-Haas2021-X.9..TP_Thermogenesis_RT_A.PG.Quantity,Brown,Haas2021,22.03178357413679,7.937180496532078,1.0,0.0,1.0,0.0,1.0,0.0,0.9993547,0.0006452848,0.99455040938764,0.005449590612359978,0.9904409407670526,0.00955905923294741,35.96896407555831
Haas2021-Haas2021-X.10..TP_Thermogenesis_RT_B.PG.Quantity,Brown,Haas2021,25.30240801509877,9.6174003531924,1.0,0.0,1.0,0.0,0.98,0.02,0.9995092,0.0004907662,0.9937160157336947,0.00628398426630529,0.9951036864084557,0.004896313591544346,40.91980834983934
Haas2021-Haas2021-X.11..TP_Thermogenesis_RT_C.PG.Quantity,Brown,Haas2021,24.758588669917263,8.439827255142552,1.0,0.0,1.0,0.0,0.97,0.03,0.9996687,0.0003312846,0.9907296598917515,0.009270340108248454,0.9900462552814635,0.009953744718536476,39.19841592703887
Haas2021-Haas2021-X.12..TP_Thermogenesis_RT_D.PG.Quantity,Brown,Haas2021,22.72870060724286,10.843831809147328,1.0,0.0,1.0,0.0,0.96,0.04,0.9994646,0.0005354483,0.9916073640464583,0.008392635953541623,0.9872385578618822,0.012761442138117777,39.57253243618079
Haas2022-Haas2022-X.9..2022_TP_Thermogenesis_RT_A.PG.Quantity,Brown,Haas2022,25.814716118449542,11.04501654817811,1.0,0.0,1.0,0.0,1.0,0.0,0.99963504,0.00036496084,0.9991553054933431,0.0008446945066569244,0.987982288953638,0.012017711046361968,42.85973266822836
Haas2022-Haas2022-X.10..2022_TP_Thermogenesis_RT_B.PG.Quantity,Brown,Haas2022,24.55442303300451,11.872987491763887,1.0,0.0,1.0,0.0,0.97,0.03,0.9995454,0.000454619,0.9985197743505794,0.0014802256494206786,0.9925772230408335,0.007422776959166458,42.42741053914569
Haas2022-Haas2022-X.11..2022_TP_Thermogenesis_RT_C.PG.Quantity,Brown,Haas2022,28.138383689969636,11.487396340626889,1.0,0.0,1.0,0.0,0.99,0.01,0.99969625,0.0003037283,0.9972761944210099,0.002723805578990141,0.98114636427018,0.018853635729820017,45.62578001362899
Haas2022-Haas2022-X.12..2022_TP_Thermogenesis_RT_D.PG.Quantity,Brown,Haas2022,28.594529572084536,10.153536925642111,1.0,0.0,1.0,0.0,0.99,0.01,0.9996719,0.00032812057,0.9967238132097354,0.003276186790264614,0.9727389309407417,0.027261069059258267,44.74806649472895
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_1,Brown,Harney,19.62375977936589,13.830048590930003,1.0,0.0,1.0,0.0,1.0,0.0,0.99957144,0.00042855184,0.9943341329527638,0.005665867047236176,0.9764445185353022,0.023555481464697766,39.453808364737064
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_2,Brown,Harney,18.19175679919609,12.768220861302689,1.0,0.0,1.0,0.0,0.99,0.01,0.9995549,0.00044511125,0.992883029166794,0.00711697083320599,0.9475925059290148,0.05240749407098521,36.95997764425884
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_3,Brown,Harney,21.173683232626537,19.840835812186466,1.0,0.0,1.0,0.0,0.96,0.04,0.9993491,0.0006508863,0.9979729325533836,0.0020270674466163863,0.9656773754886561,0.0343226245113439,47.01451904836367
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_4,Brown,Harney,30.015517609969997,17.33186072749202,1.0,0.0,1.0,0.0,1.0,0.0,0.9995115,0.0004884994,0.9959913380461748,0.004008661953825247,0.9724784710728953,0.027521528927104737,53.34737831720575
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_5,Brown,Harney,21.686199003461777,12.996703447409866,1.0,0.0,1.0,0.0,0.99,0.01,0.9994836,0.0005164141,0.9949747357616346,0.005025264238365372,0.9795031746593239,0.0204968253406761,40.682902450347775
Johanna-Johanna-LFQ intensity 4442_22_PBS_m,Intermediate,Johanna,-3.8485670683227746,58.520916650709026,1.0,0.0,1.0,0.0,0.77,0.23,0.8157442,0.18425575,0.5959640417671295,0.4040359582328705,0.9316716570699553,0.06832834293004474,60.67234955258393
Johanna-Johanna-LFQ intensity 4443_22_PBS_m,Intermediate,Johanna,-21.33764476531955,29.64530672413505,1.0,0.0,1.0,3.661524453473918e-203,0.82,0.18,0.7828789,0.21712112,0.6282697666115107,0.37173023338848926,0.9843412732970821,0.015658726702917895,14.3076619588155
Johanna-Johanna-LFQ intensity 4444_22_PBS_f,Intermediate,Johanna,-10.898605614084419,7.525668100569551,0.0,1.0,0.0,1.0,0.76,0.24,0.6959304,0.30406958,0.47446292655662137,0.5255370734433786,0.8344664364517027,0.16553356354829735,2.6270624864851326
Johanna-Johanna-LFQ intensity 4445_22_PBS_f,Intermediate,Johanna,-2.2462255737547414,42.50658288277667,1.0,0.0,1.0,0.0,0.81,0.19,0.7031084,0.29689166,0.37073501756153526,0.6292649824384647,0.06917770860203587,0.9308222913979641,46.26035733882425
Johanna-Johanna-LFQ intensity 4446_22_PBS_f,Intermediate,Johanna,-2.9503944030641773,53.740744295776686,1.0,0.0,1.0,0.0,0.63,0.37,0.74772143,0.2522786,0.32720924363974757,0.6727907563602524,0.15080239386236693,0.8491976061376331,56.79034992251483
Johanna-Johanna-LFQ intensity 4453_22_PBS_f,Intermediate,Johanna,-4.129847328518599,41.59388103169713,0.0,1.0,1.0,3.62721482254558e-217,0.76,0.24,0.6524508,0.34754926,0.10060937956186644,0.8993906204381336,0.09660191473755042,0.9033980852624496,43.464033762783174
Johanna-Johanna-LFQ intensity 4454_22_PBS_f,Intermediate,Johanna,1.5003461102343552,42.99091769908787,1.0,0.0,1.0,3.1431811133302987e-187,0.85,0.15,0.8435917,0.15640828,0.5135547758835588,0.4864452241164412,0.9698087425434393,0.030191257456560722,50.491263779519905
Johanna-Johanna-LFQ intensity 4455_22_PBS_f,Intermediate,Johanna,-27.82335992932537,52.00183421802682,0.0,1.0,1.0,7.625319413387737e-297,0.78,0.22,0.7147095,0.28529048,0.5782880674660118,0.4217119325339882,0.9894745285948651,0.010525471405134967,30.17847428870145
Johanna-Johanna-LFQ intensity 4456_22_PBS_m,Intermediate,Johanna,-15.627976115295255,41.97005583087991,0.0,1.0,1.0,0.0,0.66,0.34,0.7124605,0.28753945,0.7294298683608373,0.27057013163916266,0.9777224807516016,0.022277519248398367,32.34207968578233
