"","sample","PC1","PC2","label","tissue","diet","batch"
"1","Haas2021-Haas2021-X.10..TP_Thermogenesis_RT_B.PG.Quantity",-6.26562616626074,-2.66450111150163,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"2","Haas2021-Haas2021-X.11..TP_Thermogenesis_RT_C.PG.Quantity",12.3167140731243,-15.759842046603,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"3","Haas2021-Haas2021-X.12..TP_Thermogenesis_RT_D.PG.Quantity",-6.75746279015321,18.4187299780643,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"4","Haas2021-Haas2021-X.9..TP_Thermogenesis_RT_A.PG.Quantity",-1.32702743389691,-3.39977406681401,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"5","Haas2022-Haas2022-X.10..2022_TP_Thermogenesis_RT_B.PG.Quantity",-20.004646200943,8.44787980707838,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"6","Haas2022-Haas2022-X.11..2022_TP_Thermogenesis_RT_C.PG.Quantity",10.0381546386753,-10.4955074063039,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"7","Haas2022-Haas2022-X.12..2022_TP_Thermogenesis_RT_D.PG.Quantity",17.2942170355996,-9.04934821098087,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"8","Haas2022-Haas2022-X.9..2022_TP_Thermogenesis_RT_A.PG.Quantity",-9.44042360831422,2.74967398504125,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"9","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_1",-6.94538123165552,3.59097629131309,"BAT-AdLib","BAT","CD","Harney"
"10","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_2",8.41517834435906,-2.87360221873952,"BAT-AdLib","BAT","CD","Harney"
"11","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_3",1.06791756903467,-1.93767130291646,"BAT-AdLib","BAT","CD","Harney"
"12","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_4",5.43697346119767,-6.2589860030406,"BAT-AdLib","BAT","CD","Harney"
"13","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_5",-9.44606248371145,2.74756894255138,"BAT-AdLib","BAT","CD","Harney"
"14","Johanna-Johanna-LFQ intensity 4442_22_PBS_m",0.0352949678049175,-8.59093928542311,"iWAT-Standard Diet","iWAT","CD","Johanna"
"15","Johanna-Johanna-LFQ intensity 4443_22_PBS_m",12.5511960023627,-12.9788003201353,"iWAT-Standard Diet","iWAT","CD","Johanna"
"16","Johanna-Johanna-LFQ intensity 4444_22_PBS_f",11.6034523432615,-11.9338273821625,"iWAT-Standard Diet","iWAT","CD","Johanna"
"17","Johanna-Johanna-LFQ intensity 4445_22_PBS_f",-4.99999596287093,11.4342334855248,"iWAT-Standard Diet","iWAT","CD","Johanna"
"18","Johanna-Johanna-LFQ intensity 4446_22_PBS_f",-33.5418459786213,43.5104376795335,"iWAT-Standard Diet","iWAT","CD","Johanna"
"19","Johanna-Johanna-LFQ intensity 4453_22_PBS_f",15.0845147960045,-2.38492447062613,"iWAT-Standard Diet","iWAT","CD","Johanna"
"20","Johanna-Johanna-LFQ intensity 4454_22_PBS_f",23.8030989676801,-11.9896503178531,"iWAT-Standard Diet","iWAT","CD","Johanna"
"21","Johanna-Johanna-LFQ intensity 4455_22_PBS_f",8.92757107726897,0.676433367063392,"iWAT-Standard Diet","iWAT","CD","Johanna"
"22","Johanna-Johanna-LFQ intensity 4456_22_PBS_m",-28.5636816684761,2.70782290017332,"iWAT-Standard Diet","iWAT","CD","Johanna"
"23","Johanna-Johanna-LFQ intensity 4457_22_PBS_m",3.69409082570679,-8.0435665014981,"iWAT-Standard Diet","iWAT","CD","Johanna"
"24","Johanna-Johanna-LFQ intensity 4458_22_PBS_m",-2.08697988938461,5.57705487231512,"iWAT-Standard Diet","iWAT","CD","Johanna"
"25","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_1_1857",1.85549662136501,2.10547222380368,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
