"","Haas2021-Haas2021-X.9..TP_Thermogenesis_RT_A.PG.Quantity","Haas2021-Haas2021-X.10..TP_Thermogenesis_RT_B.PG.Quantity","Haas2021-Haas2021-X.11..TP_Thermogenesis_RT_C.PG.Quantity","Haas2021-Haas2021-X.12..TP_Thermogenesis_RT_D.PG.Quantity","Haas2022-Haas2022-X.9..2022_TP_Thermogenesis_RT_A.PG.Quantity","Haas2022-Haas2022-X.10..2022_TP_Thermogenesis_RT_B.PG.Quantity","Haas2022-Haas2022-X.11..2022_TP_Thermogenesis_RT_C.PG.Quantity","Haas2022-Haas2022-X.12..2022_TP_Thermogenesis_RT_D.PG.Quantity","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_1","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_2","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_3","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_4","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_5","Johanna-Johanna-LFQ intensity 4442_22_PBS_m","Johanna-Johanna-LFQ intensity 4443_22_PBS_m","Johanna-Johanna-LFQ intensity 4444_22_PBS_f","Johanna-Johanna-LFQ intensity 4445_22_PBS_f","Johanna-Johanna-LFQ intensity 4446_22_PBS_f","Johanna-Johanna-LFQ intensity 4453_22_PBS_f","Johanna-Johanna-LFQ intensity 4454_22_PBS_f","Johanna-Johanna-LFQ intensity 4455_22_PBS_f","Johanna-Johanna-LFQ intensity 4456_22_PBS_m","Johanna-Johanna-LFQ intensity 4457_22_PBS_m","Johanna-Johanna-LFQ intensity 4458_22_PBS_m","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_1_1857","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_2_2127","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_3_2145","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_4_3253","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_5_4222","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_1_1096","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_2_1544","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_3_2005","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_4_3416","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_5_4224","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_1_1106","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_2_1541","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_3_2002","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_4_3421","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_5_4226","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_1_1427","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_2_1857","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_3_2127","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_4_2145","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_5_3253","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_6_4222","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_1_1096","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_2_1544","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_3_2005","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_4_2179","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_5_3416","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_6_4224","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_1_1106","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_2_1541","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_3_2002","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_4_2172","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_5_3421","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_6_4226","Melina-Melina-RT1","Melina-Melina-RT2","Melina-Melina-RT3","Melina-Melina-RT4","Melina-Melina-RT5","Melina-Melina-RT6","Melina-Melina-Cold1","Melina-Melina-Cold2","Melina-Melina-Cold3","Melina-Melina-Cold4","Melina-Melina-Cold5","Melina-Melina-Cold6","Oeckl-Oeckl-iBAT.T23.WT_1","Oeckl-Oeckl-iBAT.T23.WT_2","Oeckl-Oeckl-iBAT.T23.WT_3","Oeckl-Oeckl-iBAT.T23.WT_4","Oeckl-Oeckl-iWAT.T23.WT_1","Oeckl-Oeckl-iWAT.T23.WT_2","Oeckl-Oeckl-iWAT.T23.WT_3","Oeckl-Oeckl-iWAT.T23.WT_4","Rhabi-Rhabi-VEH1W","Rhabi-Rhabi-VEH2W","Rhabi-Rhabi-VEH3W","Rhabi-Rhabi-VEH4W","Rhabi-Rhabi-VEH5W","Rhabi-Rhabi-VEH1B","Rhabi-Rhabi-VEH2B","Rhabi-Rhabi-VEH3B","Rhabi-Rhabi-VEH4B","Rhabi-Rhabi-VEH5B","WangBAT-WangBAT-Intensity of BAT_CD1","WangBAT-WangBAT-Intensity of BAT_CD2","WangBAT-WangBAT-Intensity of BAT_CD3","WangBAT-WangBAT-Intensity of BAT_CD4","WangBAT-WangBAT-Intensity of BAT_CD5","WangBAT-WangBAT-Intensity of BAT_HFD1","WangBAT-WangBAT-Intensity of BAT_HFD2","WangBAT-WangBAT-Intensity of BAT_HFD3","WangBAT-WangBAT-Intensity of BAT_HFD4","WangBAT-WangBAT-Intensity of BAT_HFD5","WangWAT-WangWAT-Intensity of sWAT_CD1","WangWAT-WangWAT-Intensity of sWAT_CD2","WangWAT-WangWAT-Intensity of sWAT_CD3","WangWAT-WangWAT-Intensity of sWAT_CD4","WangWAT-WangWAT-Intensity of sWAT_CD5","WangWAT-WangWAT-Intensity of sWAT_HFD1","WangWAT-WangWAT-Intensity of sWAT_HFD2","WangWAT-WangWAT-Intensity of sWAT_HFD3","WangWAT-WangWAT-Intensity of sWAT_HFD4","WangWAT-WangWAT-Intensity of sWAT_HFD5","Query-Query-VEH1W"
"Ighg1",0.482878235222158,0.20307485137084,0.333348584367029,0.565853387572495,0.413553249245013,-0.0601882402905357,-0.0150601975733158,0.523817639574226,-0.472719292026399,-0.829530494575878,-1.43496523492484,-1.19732682163507,-0.633809544496691,-0.163982074399733,0.206636734751779,0.938475530705042,0.403898279792927,0.810691807553117,0.552466436200807,1.14553099099142,-0.105598494856466,-0.773155075677408,-0.150431756014171,0.242039759939391,-9.18419814572395,8.51957696364396,-9.12686463649082,-9.19410056310953,-9.19118938215566,9.14060131088351,8.95418655122496,-9.13069544378406,-9.14259674399048,8.63963521755415,8.75515797051378,9.02480533073799,8.35281864036214,-9.35605799189087,9.12533002891198,-3.47935662748445,-3.48836154522015,16.6432371685954,-3.39203440252551,-3.46146243450759,-3.3915679483498,-3.43545832509969,14.1653284421818,-3.38790651009629,-3.43909833949176,-3.43672268880043,-3.42445810201389,-3.41675355455641,-3.49033601873395,-3.49791553422858,-3.51145693754047,-3.46717446330082,14.2700968552015,-0.142046029890389,0.203358203080921,-2.29678358162194,0.383775020358304,1.60967725855228,0.296745757277144,0.525236602811695,0.987344758201779,0.759684707534447,-0.547383202343519,0.753999961804965,1.00405041690242,0.952777307298636,0.103950898912406,0.279432695177056,-0.445167143079774,1.47649518754767,2.54239217546271,1.60891572740363,0.800376336839656,0.00183795774750894,-0.156970392252492,-0.359198492252491,-0.0285836522524919,-0.418862842252493,-1.73445902225249,-1.83495936225249,-1.88679167225249,-1.55726086225249,-1.92093449225249,0.789825741350275,0.125932291751821,-0.676736784330802,0.962496090272062,-0.146606304235745,0.741932808650735,1.10709763212669,1.20991512059018,1.1871021233166,0.961835432795554,0.452825723372442,0.0928106447304384,0.350861760835795,1.13423152923692,0.190565838239497,0.7542235263629,1.22074654163347,1.36772973007681,1.14969126142725,1.36871854198798,-0.977663631847776
"Ighm",4.54832612230957,4.44929834472247,4.36992019285433,4.75539131214165,4.80275010172345,4.92282875991409,4.36645783602917,4.16182752737076,4.19519714673055,4.6346236797465,4.55553402273578,4.766684778165,4.59047745087386,4.49563971752716,4.37442356301086,4.85702030996216,5.28460876593716,4.75298648481726,4.07201297719751,4.60869679643088,4.58428829554706,4.31654889776591,4.64266810960453,4.90412874698132,3.61592508177235,4.65686776806747,2.72084635035216,3.97268084105276,3.55373664834983,5.88455958441411,4.31305165348977,4.16085195758621,4.68757762016565,4.47378798715346,5.88344797651765,5.39579548840369,4.87898308618281,5.51193706362054,5.77158913065521,4.45955744990562,4.72132892034102,4.27956990322085,3.35054758666402,4.37085686293413,4.21870602795756,4.33759735797546,4.4413287515955,5.97689337178845,4.50756228965575,3.94710748350813,4.61247904520818,4.34167917965395,5.01442669172249,4.36520262262309,5.09842135409271,4.83231612109676,4.23349681894002,4.28248724091574,3.71390972388757,4.45289692788799,4.35540612659671,4.69445519504235,4.6140293479792,4.83473221696411,4.95443856945009,4.88812580645542,4.77311742142946,5.2266383735676,4.38032852120198,4.46118769835047,3.92914805601649,3.80298743437342,3.85336718748622,5.20689139555506,5.87410578917079,4.98725161741786,4.83958182524256,5.83278656302277,5.56160857302277,5.76837406302277,5.58911129302277,5.55732356302277,3.54194803302277,3.48552035302277,3.48926412302277,3.32090364302277,3.38067406302277,4.35958903057844,4.90197908259347,4.64918203842947,4.74519036343722,4.57207266134689,3.93956649021174,5.28450476585744,4.6040875611313,4.37428026693232,4.30220652235906,4.34959117581796,4.93241215648991,4.63626875902795,4.52052201558168,4.62791962293921,4.16919840930664,5.15324131039523,4.59619198315216,4.73684987082876,4.4119272473182,4.5556314244682
"Dhx9",3.41827159738133,3.3435606660911,3.41605022614905,3.60791576697069,3.63439026092939,4.12755706571101,3.03723955631141,2.88398545873668,3.63159272284722,3.32947041804791,3.16361975413114,3.2479805476509,3.74697658431605,3.26072880135891,3.26736146693239,3.34867228457942,3.77740608481674,4.01742003163372,3.51992027821019,3.42261528002746,3.59426907022091,3.41650002158468,3.20830898114917,3.49910285854038,2.71385256788278,3.02960937853161,3.0493134063626,3.15718108309367,3.29797183751641,3.19045524185088,3.24673063666045,2.92214344653022,3.32048888463688,3.28803682566434,3.47369666638245,3.34426091866224,3.26263115521901,3.55756849186234,3.51132341493997,3.14906496086523,3.22607995351624,3.1895824209603,3.28808288688255,3.03497379379944,3.06694647379259,2.95001502897523,3.24791794671363,3.1755129791392,3.13103421667507,3.12620859069524,3.19338818901538,3.52455127489308,3.46781829712439,3.33779089039061,3.30381915367597,3.47419726249237,3.50703512473861,2.66121775318322,3.6300022447193,3.0318436924741,3.20448469655135,2.95059720961338,3.41401728306801,2.27915252003496,3.20357770316901,1.65565014615654,4.85192966160358,5.73698628822507,4.68839312046247,3.214272797749,3.20697909657712,3.27968627278562,3.25996428792234,3.77077704732175,3.97651678387876,3.76919967000241,3.71578818623777,4.24592353406401,4.36501039406401,4.35700142406401,4.29777065406401,4.18717732406401,2.48268229406401,2.49744437406401,2.58449669406401,2.57423118406401,2.67800369406401,3.51399092305205,3.5156406326865,3.40987423409581,3.45404511802011,3.67157766567193,3.52578548183316,3.39771493907873,3.38449739445459,3.53735534488031,3.32156531087836,3.42610105265893,3.60447241121337,3.49649950932289,3.42948216215164,3.41333272493217,3.26661324033036,3.36541014695853,3.52752579886512,3.62424797330016,3.63740366615679,3.42819809971544
"Bzw1",3.61215659013434,3.59426236048538,3.42056080082628,3.72229421783544,3.73335840297904,3.60006030361162,3.5442496390135,3.44787330010825,7.04480393859279,7.04038653230581,6.8119321039333,-11.4817671896122,6.91476430435155,3.43037795026184,3.33487858385614,3.48972933338682,3.94356675038548,3.931907956083,3.62115765834204,3.20195297974149,3.61732532234903,3.64906822428215,3.42541606806684,3.390745184423,3.91398083833262,3.95712171626454,4.12692526119229,3.87775345371782,3.93085041361803,3.88227180293655,3.88581150346194,3.96418623820081,3.72076084372586,3.61297119463233,3.88136258821078,3.90543475282831,3.8738829297529,3.96906175635885,3.88858128802404,3.98701020052312,3.82539741657111,3.84434407904226,3.94640881609465,3.65614910280671,3.75344594273631,4.1558467234378,3.8087232109062,3.84001762248135,3.93168770390819,3.91235910484846,3.65954074341347,4.04591554017928,3.97675108506643,3.95027369643675,3.8807623277937,3.87327212832949,3.94333827864977,3.89236080722445,3.21302910832868,4.1647758146758,3.65546525444054,3.59215889169077,3.97594184874064,4.48115724060288,4.41947372158747,2.59848845314986,2.66841519543811,2.86086747850407,4.11901208200427,4.50700649987306,4.53077206383791,4.39820275078859,4.38617119561281,3.04805264245119,2.74712714921083,2.8371880985364,2.87972864876833,4.47694190869412,4.53798052869412,4.42290536869412,4.52821015869412,4.32116339869412,1.93369867869412,2.12016546869412,1.85616903869412,2.16499867869412,2.15122745869412,3.78625023873934,4.99874740067466,3.25086616908601,3.18845607174673,4.32311444060779,3.39754527677414,3.52595621795407,3.91579951277881,3.57005639782823,3.35105801211054,3.7668771563451,4.01259426485437,3.74791139891299,3.64153923715323,3.59855003841834,3.69834813083796,3.71308989169562,4.05560861820027,3.98716036688168,3.6346181999833,3.25721279072558
"Adhfe1",4.99603915008625,4.82574322852701,4.79781226746339,4.95234938443253,5.21070063131301,4.95465021777753,4.72474177688364,4.76399650507046,5.01019884636015,4.57289310437377,4.87741857672688,5.12356236891392,5.05297520627431,4.95208486005734,4.88805576761425,4.69875008392148,4.92173810521815,5.32006004930324,4.56776696293821,4.58435206098295,4.75202056612224,5.09597255611801,4.80722980484593,5.1961325480286,4.83121628993171,5.04911687107152,5.13796926027337,5.13830381817281,4.90391741254403,4.99438906092642,4.8419522016086,5.00912512486708,5.13539794318005,4.77424475198625,4.83511103907847,4.7670054566194,4.69387282963494,4.86120627480169,4.79038301279556,4.91740337458866,4.56510186851044,4.97964239445396,5.00781224857656,4.98827395191206,4.91752853254286,4.9609230643738,4.81687316724435,4.98445788476489,5.09128505742449,5.06709141616702,4.7545903521697,5.12176607679302,4.92399700316692,4.89120246316515,4.94654231716626,4.7981639370763,5.02496591845357,4.24966258325685,4.97318636511069,4.94800917609783,5.00855842956917,4.5368305442884,4.70290418033042,5.07594109744805,4.97042661024519,5.12946290493545,4.82155072511796,5.07427201207458,5.20966763400057,4.98511189487038,4.97263402011452,5.14531678226053,5.21870106723366,4.75592488315163,4.90570682551919,4.75618618991433,4.38830441501199,4.11929061292436,3.75843395292436,3.88980550292436,3.63157348292436,3.76888517292436,5.97176552292436,5.94017551292436,6.08449908292436,6.01180388292436,6.04430205292436,4.74436893020802,4.85630046878069,4.92357671811203,4.83114680154644,4.86938954674164,4.82549163988123,5.00959482950789,4.99792030455641,5.04605630590274,4.90673535185377,4.94761819378191,5.04065231752652,5.00423117155141,4.79098028435628,4.99256327635136,4.55960783080681,4.71875575326945,4.71876927004624,4.79130941834498,5.00287015539368,4.91852042066696
"Tardbp",3.68824824292407,3.47778159712671,3.53289540954492,3.67401397832388,3.7259938383826,4.08071785333632,3.4859992463675,3.16321580085647,3.75398071868598,3.39860342279317,3.56967553925364,3.67068455341099,3.94195690897521,3.5485379607372,3.50098403200353,3.69236577068013,3.84032776174272,4.18844669194467,3.76485471937207,3.68404435396857,3.73145880381781,3.63814559844595,3.45205458607244,3.60997259982538,3.56287761664047,3.56243217720703,3.33890452380678,3.36375415182502,3.44912809663631,3.53173648403172,3.6581122551997,3.54511639652002,3.28365712975836,3.60438958726273,3.64396665062524,3.66263141161614,3.80111579723153,3.6444354645804,3.60865273911194,3.40758019259378,3.5498965124972,3.60189151929844,3.5730190016161,3.50133646499373,3.66906598918135,3.26624456314717,3.59547162764145,3.60072482087691,3.61095677525573,3.49767656099027,3.71500732328738,3.25526390624253,3.64787949568616,3.66301698898735,3.51073835633321,3.54607204465521,3.40598854105867,3.87293818088733,3.9102906976142,3.80585186073646,3.35183175173756,3.65003368392274,3.59415229815663,4.10076977696988,3.75414890411905,3.29634414557374,3.12936342733356,4.88357592454402,2.28520395305617,3.27308085461913,3.26281168958006,3.13860705395995,3.34214594861327,3.81686594983397,3.81009462376891,4.03875735303221,4.57590964337645,4.36443362283365,4.31136624283365,4.27017383283365,4.21878504283365,4.13354972283365,3.06566584283365,3.03286352283365,3.14241346283365,3.12767863283365,3.03993088283365,3.53989600803158,3.70727678401334,3.61468728498426,3.58304597920062,3.7912914759551,3.65969951145296,3.55705790124356,3.53742974803144,3.58114060115212,3.39815121009281,3.59002245516644,3.6765351352822,3.82170850417714,3.70949543812856,3.30262143421371,3.55567034284263,3.65797928534775,3.58343890277071,3.68301148163412,3.59967736734431,3.67127646243393
"Stat1",4.10256569367712,4.07543520664184,3.98468172029814,4.20500210706976,4.19285301534158,4.46815210653732,3.89494890283949,3.89188772156081,4.36805091018416,4.04113707224953,3.57776191608674,4.02586370492534,4.4799178921759,4.00203957587231,3.98959692412126,4.1125066116637,4.30849773491364,4.51852129973455,4.18867698365623,4.07402401657522,4.16515980822194,4.22630829078387,4.24299769148542,4.01614460382152,3.94137153178004,4.24467232857909,3.89372825534168,3.67840630473409,3.76080791760752,4.60768636576099,3.96135247937748,3.62771604338747,3.94153906506891,3.7703934295312,4.97032036027217,4.58667982139565,3.97537178800214,4.28975739438604,5.18930092940967,4.123639494053,3.79423777984389,4.11664871788973,4.55001514296859,3.86845653665537,4.12023202816712,4.10442477490854,3.96827029406288,4.07112655270298,4.49829500190173,4.01506176723619,3.78009658548454,4.2388344942686,4.13257256686603,4.07193560303709,4.24207550485783,4.18500969832175,4.24577305517415,4.92560606094021,4.1805091635756,4.74483889874893,4.59066326680338,4.7836777329004,3.5396602683467,4.02136000289562,3.61283958108418,3.80852017671286,4.66630881352804,3.72303587196059,2.62985145151667,3.55929693160149,3.73423322615715,3.90299734053703,3.65601285872551,4.71023591933342,4.4883385556707,4.5330174821386,4.48470624861809,5.42901351188651,5.74362572188651,5.33823821188652,5.82443203188651,5.24313587188651,2.58953971188651,2.70296751188651,2.67742555188651,2.87011818188651,2.60505359188651,4.1873526115704,4.07193205321134,4.18044455257317,4.22260106732148,4.32150971565414,4.0262567754996,4.05541473493354,4.07523589503723,3.86894174082992,3.70707909089688,4.24812231610429,4.22527294282711,4.08421167395382,4.187808007558,3.92919925020521,3.88868232575644,4.14051068405417,4.35102140734085,4.14716394766049,4.09396543179816,4.10524193755038
"Gcdh",3.89307629171452,3.79792208728518,3.72906715939737,3.77148944485284,4.10179503448957,4.27346326700416,3.45915942391678,3.2710481672661,3.7371656663751,3.76873343582998,3.82663338415981,3.63910813998556,4.13652231062865,3.58741779039634,3.7428468031487,3.59573139159917,3.93253739551019,4.37048922968636,3.49939858914689,3.61542019803322,3.77965762730767,4.01901812327188,3.5614509372359,3.88776620982966,3.7357358176296,3.79850168047134,4.11161366205124,3.94767165301987,3.86967131663293,3.69824711803139,3.75413627538683,3.93869447827952,4.00805834570412,3.59199850918814,3.5564216397207,3.40565854383814,3.29600623443037,3.52974466516861,3.5231319653917,3.62119252164147,3.55668274886666,3.87170138576031,4.09020708150542,3.79652272778478,3.86583104745508,3.64664218110108,3.70350102974943,3.87426948723263,4.03065623474622,3.83156182608676,3.68041435460699,3.70435445449562,3.58819484659364,3.48504918783911,3.84140325311266,3.49263655996548,3.51035342940147,3.49187087783146,3.99718270351236,3.93838857280167,4.08054772771878,4.55515826520294,3.53620361310254,3.51122151357773,3.51759788840931,3.65955646892757,3.70587606761647,3.24364703403425,4.10238694402624,4.29978034785246,4.3542094021127,4.4319329052255,4.55394027522062,3.11696098139738,3.06329081347441,3.45837066462492,3.38324592402434,3.5823387519334,3.4408742619334,3.3660257319334,3.6242704919334,3.26802762193341,4.0782861319334,4.1969682319334,4.1518158919334,4.2811393319334,4.23960461193341,3.34746407081643,3.55550547182181,3.64930891505918,3.51328598932213,3.4841038745149,3.9987521550089,4.02539202565027,4.01663493885427,3.96031774853123,4.02559060536645,3.80567657768435,3.93435190314507,3.80243050620074,3.70954432910705,3.81833181516235,3.48033230978683,3.84511214605237,3.62081025624674,3.56948136778343,3.45415885729876,3.82071756208854
"S100a13",3.8894136300227,3.61116425235713,3.8443629259559,3.26293076697509,3.39869703523566,2.53943385239078,4.07678381399067,3.91861878240083,2.76556248280065,2.44179204142218,2.63339480840198,2.76932613044759,2.63583051416779,3.17773963045211,3.23299523054578,3.27964595256019,3.40282934728726,3.56062905059933,2.92346679061127,3.2737896060018,3.19443737847869,3.65432166152958,3.09496244276954,3.60241187244554,9.13902040035512,9.08839992705304,9.56242646041546,9.54208481976944,9.33809117418646,-8.80366451590766,9.45095358293934,9.88705065306546,9.01051248939086,-8.83242216967613,-8.88605309459945,9.39868088432384,-8.89670755026017,8.70260735366188,-8.8968841662958,4.04431495308887,3.66169204393934,4.08878936409105,4.45753245797095,4.08079359989545,3.76287106252679,4.35826311137431,3.97989461320816,3.76069777428898,3.73941104335116,3.88159113498291,3.73201154919166,3.75331364610072,4.03174226720418,3.81374638038317,3.68564682164587,3.93670472793215,3.98541977486759,2.64045117839349,3.09890841842636,3.44289055205733,3.38536641792046,3.24053669905656,3.46453109062817,3.74426610494073,3.99452695675092,3.64895700267222,3.61722258059577,3.78548510733168,3.61347370328302,3.69087606141805,3.70154290864705,3.80204206178426,3.91444974611043,4.04102140138387,4.18308621118307,3.31027417848348,2.89042001435994,3.03583180315112,2.89028460315112,2.97552651315112,3.25322458315112,2.93396148315112,2.00961678315112,2.00588679315112,2.12848017315112,2.24079238315112,2.49251997315112,3.40048061876611,3.38366952420407,3.73337801035327,3.97940003269177,3.78221215352139,3.2365810862778,3.44185346147391,4.13094010694328,3.62537161282243,4.07407739409671,3.65642051751903,3.85905674495332,3.19354333139344,3.41126650940075,3.66005476298771,3.83865606606998,3.94291175564722,4.01218008086512,4.22052073069364,3.43343974591825,2.6039457639046
"Serpina1a",2.35921336786562,2.57273086698482,2.22375515444842,2.59809652160854,1.94941881407858,2.16563508371173,2.2365993792519,2.0599932960845,0.729820126082722,0.665273597291431,0.651313701389318,0.666528415059349,0.686946075983025,2.82638142629183,2.57602850586578,1.45176634662479,1.71193500267604,2.54984438755676,1.6676706982692,1.81592193120933,1.1281361319719,1.7162794525589,1.67882246595696,1.92837129212613,-7.02196773820327,9.9450181027765,-6.96463422897014,10.1483812815979,10.0067066296447,10.417210151474,-7.14696650502095,-6.96846503626339,-6.9803663364698,-7.09422859675911,10.3441795556474,10.1266096989014,10.8199495115296,10.0399341425918,-7.15869059337878,12.5158881522418,-4.92490922953795,12.4118653291994,12.4219474334834,-4.89801011882539,12.4840540207358,12.2060144487272,12.3160798634509,12.5059097876464,-4.87564602380957,-4.87327037311823,-4.86100578633169,-4.85330123887421,-4.92688370305175,-4.93446321854638,-4.94800462185827,-4.90372214761862,-4.8935042972814,-11.7249235010755,-11.7117687783723,5.40178897963766,2.54390635628434,5.35637239628849,2.2585764003398,5.71500219757069,5.1521458490139,3.36871481903066,5.68728349976172,6.2760328220075,5.53032747893999,2.37379084353788,2.4918395114456,2.44148503070219,2.51598940615995,2.82502232318266,1.97037730937345,2.92979679828031,2.0729237628494,1.91688652198389,1.96016650198389,1.86751536198389,2.08441659198389,1.64303991198389,-0.688487218016109,-0.677406778016109,-0.78201008801611,-0.641250018016113,-0.748124438016108,2.61102863827234,2.41986264455312,2.28046045802721,2.5749434290538,2.26242435270242,2.59019585420374,2.931836510528,2.59534289007616,2.89789893845477,2.46288682225582,2.70066695069608,3.18099228909397,2.67312205774392,2.53495821424005,2.27507387585241,2.67966209862538,2.81513112364433,3.00022078461472,2.89265602166604,3.05400462105454,0.60795124050519
