,Status,Batch,pca_browning_score_PC1,pca_browning_score_PC2,lda_browning_score_Brown,lda_browning_score_White,lda_browning_score_Brown_lasso,lda_browning_score_White_lasso,rf_browning_score_Brown,rf_browning_score_White,lr_browning_score_Brown,lr_browning_score_White,lr_browning_score_Brown_markers,lr_browning_score_White_markers,Composite_Score
Haas2021-Haas2021-X.9..TP_Thermogenesis_RT_A.PG.Quantity,Brown,Haas2021,31.92983101965193,1.0735261391907531,1.0,2.8206541331897813e-49,1.0,0.0,0.99,0.01,0.9953679634238379,0.0046320365761620425,0.9884123563275489,0.011587643672451178,38.00335715884268
Haas2021-Haas2021-X.10..TP_Thermogenesis_RT_B.PG.Quantity,Brown,Haas2021,33.749735413015834,1.8053146642687243,1.0,1.2541679140462177e-41,1.0,0.0,0.96,0.04,0.9950385614178341,0.004961438582165963,0.992339518427963,0.007660481572037055,40.555050077284555
Haas2021-Haas2021-X.11..TP_Thermogenesis_RT_C.PG.Quantity,Brown,Haas2021,33.49624344579516,1.7275266402042788,1.0,2.6389180553575305e-47,1.0,0.0,0.99,0.01,0.9950429583776601,0.004957041622339873,0.986864314984876,0.013135685015123997,40.22377008599944
Haas2021-Haas2021-X.12..TP_Thermogenesis_RT_D.PG.Quantity,Brown,Haas2021,32.33091372238728,3.0147444703085227,1.0,3.183427806799361e-42,1.0,0.0,0.97,0.03,0.9891576630947038,0.010842336905296254,0.9518024355982089,0.048197564401791175,40.3456581926958
Haas2022-Haas2022-X.9..2022_TP_Thermogenesis_RT_A.PG.Quantity,Brown,Haas2022,27.644272156959367,4.18614090958961,1.0,9.864929394697362e-51,1.0,0.0,0.95,0.05,0.9989290722125259,0.0010709277874740338,0.999856538025221,0.00014346197477902066,36.83041306654898
Haas2022-Haas2022-X.10..2022_TP_Thermogenesis_RT_B.PG.Quantity,Brown,Haas2022,27.31513602696749,5.41433855127025,1.0,7.325308167727244e-38,1.0,0.0,0.93,0.07,0.9979159046434203,0.002084095356579703,0.9998018624140569,0.0001981375859430622,37.72947457823774
Haas2022-Haas2022-X.11..2022_TP_Thermogenesis_RT_C.PG.Quantity,Brown,Haas2022,31.574000648949184,3.7234362460324673,1.0,1.733059188106896e-61,1.0,0.0,0.95,0.05,0.9992022824771042,0.0007977175228957664,0.9999276314150463,7.236858495376236e-05,40.29743689498165
Haas2022-Haas2022-X.12..2022_TP_Thermogenesis_RT_D.PG.Quantity,Brown,Haas2022,31.589638120739952,2.1946686688243653,1.0,1.1345579151071248e-29,1.0,0.0,0.99,0.01,0.9988835335018909,0.0011164664981091895,0.9993488379917351,0.0006511620082648458,38.78430678956432
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_1,Brown,Harney,21.7593024624282,2.516156338523834,1.0,2.4103720817063473e-49,1.0,0.0,0.97,0.03,0.9979347352024074,0.0020652647975926636,0.9720921529995264,0.027907847000473565,29.275458800952034
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_2,Brown,Harney,10.136084080723151,14.535909568918155,1.0,7.374517973242892e-46,1.0,0.0,0.96,0.04,0.9947518069165896,0.005248193083410357,0.8430347146162949,0.1569652853837052,29.67199364964131
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_3,Brown,Harney,21.040485218522868,14.660003383138422,1.0,6.613468653956517e-45,1.0,0.0,0.97,0.03,0.9971412441096604,0.0028587558903395874,0.9441508407227835,0.05584915927721645,40.70048860166129
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_4,Brown,Harney,33.04758299574091,2.433732060022847,1.0,1.6174762896792234e-43,1.0,0.0,0.96,0.04,0.9981658037535458,0.001834196246454181,0.9611418585306761,0.038858141469323836,40.48131505576376
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_5,Brown,Harney,31.31745765387603,9.585774066935562,1.0,1.5616967163296908e-45,1.0,0.0,0.97,0.03,0.998719355769976,0.0012806442300240305,0.9591877804194695,0.04081221958053054,45.90323172081159
Johanna-Johanna-LFQ intensity 4442_22_PBS_m,Intermediate,Johanna,7.119060807597829,35.919315044500436,1.0,4.780787021313083e-87,0.0,1.0,0.54,0.46,0.09731491017036242,0.9026850898296376,0.9153044484897368,0.08469555151026316,48.03837585209826
Johanna-Johanna-LFQ intensity 4443_22_PBS_m,Intermediate,Johanna,-10.952913337957137,40.45396119695766,1.0,0.0,0.0,1.0,0.57,0.43,0.10567952957172888,0.8943204704282711,0.03434126802117987,0.9656587319788201,34.50104785900052
Johanna-Johanna-LFQ intensity 4444_22_PBS_f,Intermediate,Johanna,-2.013019079537577,2.767306104488202,1.0,0.0,0.0,1.0,0.53,0.47,0.049235454235428855,0.9507645457645711,1.1011058731469348e-10,0.9999999998898894,5.754287024950624
Johanna-Johanna-LFQ intensity 4445_22_PBS_f,Intermediate,Johanna,-16.117915702206556,50.404807902027585,1.0,0.0,0.0,1.0,0.54,0.46,0.0876258529483871,0.9123741470516129,9.478369929161179e-05,0.9999052163007084,39.286892199821025
